#How to read this file:
#This is a comment and will be ignored since it starts with "#"
#A comment above a list of entries is the network name
#On a given line the first entry is the text that will be returned if any comma separated entries after that entry on that line are found at the start of the file name
#a lowercase abbreviation (typically the second entry on each line, if it's known) is the same used as the release name on usenet alt.binaries.erotica

#21sextury
"Aletta Ocean Empire", aoe, "AlettaOceanEmpire"
"Anal Teen Angels", analteenangels, "AnalTeenAngels"
"Asshole Fever", ahf, "Asshole Fever"
"Blue Angel Live", "BlueAngelLive"
"Bootyfull Babes", "BootyfullBabes"
"Brothas Fuck Teens", "BrothasFuckTeens"
"Busty Fever", "BustyFever"
"Butt Plays", buttplays, "ButtPlays"
"Cheating Whore Wives", cww, "CheatingWhoreWives"
"Club Sandy", clubsandy, "ClubSandy"
"Cumming Matures", "CummingMatures"
"Cuties Galore", cutiesgalore, "CutiesGalore"
"Daily Sex Dose", "DailySexDose"
"Deepthroat Frenzy", "DeepthroatFrenzy"
"Dirty Milf Club", "DirtyMilfClub"
"Dirty Orientals", "DirtyOrientals"
"Do It Biatch", "DoItBiatch"
"Dominated Girls", "DominatedGirls"
"DP Overload", "DpOverload"
"DPFanatics", dpfanatics, "DPFanatics"
"Enslaved Gals", "EnslavedGals"
"Footsie Babes", ftb, "FootsieBabes"
"Gapeland", gapel
"Grandpas Fuck Teens", "GrandpasFuckTeens"
"Hot Milf Club", "HotMilfClub"
"Intermixed Sluts", "IntermixedSluts"
"Juicy Butt Honeys", "JuicyButtHoneys"
"Lets Play Lez", "LetsPlayLez", "Let'sPlayLex", "Let's Play Lez"
"Lezcuties", lezc
"Lust For Anal", "LustForAnal"
"Lusty Busty Chix", "LustyBustyChix"
"Lusty Grandmas", "LustyGrandmas"
"Mandy Is Kinky", "MandyIsKinky"
"Mighty Mistress", mms, "MightyMistress"
"Mighty Rods", "MightyRods"
"My Horny Asians", "MyHornyAsians"
"Nude Fight Club", nfc, "NudeFightClub"
"Old Young Lesbian", "OldYoungLesbian"
"Only Swallows", "OnlySwallows"
"Oral Quickies", "OralQuickies"
"Pix And Video", pixandvideo, "PixAndVideo"
"Sex City Asia", "SexCityAsia"
"Sophie Moone Official Site", "SophieMoonOfficialSite"
"Squirting Files", "SquirtingFiles"
"Teach Me Fisting", "TeachMeFisting"
"Teen Bitch Club", "TeenBitchClub"
"Zoliboy", zoliboy

#All Reality Pass - No updates to this network in a long time so no usenet abbreviations
"Bare Foot Maniacs", "BareFootManiacs"
"Big Cock Teen Addiction", "BigCockTeenAddiction"
"Big League Facials", "BigLeagueFacials"
"Big Tit Patrol", "BigTitPatrol"
"Blind Date Bangers", "BlindDateBangers"
"Bruthas Who Luv Muthas", "BruthasWhoLuvMuthas"
"Bus Stop Whores", "BusStopWhores"
"Casting Couch Teens", "CastingCouchTeens"
"Cheerleaders For Sex", "CheerleadersForSex"
"College Teens Bookbang", "CollegeTeensBookbang"
"Giants Black Meat White Treat", "GiantsBlackMeatWhiteTreat"
"Horny Spanish Flies", "HornySpanishFlies"
"Hot Chicks Perfect Tits", "HotChicksPerfectTits"
"I Spy Camel Toe", "ISpyCamelToe"
"Ice Cream Bang Bang", "IceCreamBangBang"
"Lesbian Teen Hunter", "LesbianTeenHunter"
"Lolipop Teenies", "LolipopTeenies"
"Milfs In Heat", "MilfsInHeat"
"Mr Big Dicks Hot Chicks", "MrBigDicksHotChicks", "Mr.BigDicksHotChicks"
"Mr Chews Asian Beaver", "MrChewsAsianBeaver", "Mr.ChewsAsianBeaver"
"Mr Happys Glory Hole", "MrHappysGloryHole", "Mr.HappysGloryHole"
"My Girlfriends Revenge", "MyGirlfriendsRevenge", "MyGirlfriend'sRevenge"
"Natural Bush Girls", NaturalBushGirls
"Panties And Fannies", "PantiesAndFannies" 
"Pimp My Black Teen", "PimpMyBlackTeen"
"Please Bang My Wife", "PleaseBangMyWife"
"Round Mound Of Ass", "RoundMoundOfAss"
"See Her Squirt", "SeeHerSquirt"
"Teeny Bopper Club", "TeenyBopperClub"
"The Big Swallow", "TheBigSwallow"
"Tinys Black Adventures", "TinysBlackAdventures", "Tiny'sBlackAdventures"
"Tits Ass And Ammo", "TitsAssAndAmmo"
"XXX Proposal", "XXXProposal"

#Bang Bros
"Assparade", ap, "Ass Parade"
"Back Room Milf", BackRoomMilf, "Backroom Milf"
"Backroom Facials", brf, "BackroomFacials", "Back Room Facials"
"Ball Honeys", "BallHoneys"
"Bangbros 18", bb18, "Bangbros18"
"Bangbros Clips", bbc, "BangbrosClips", "Bang Bros Clips"
"Bangbus", bb, "Bang Bus"
"Bangtryouts", "Bang Tryouts", "Bang Try Outs"
"Big Mouthfuls", bm, "BigMouthfuls"
"Big Tit Creampie", bigtitcreampie, btc, BigTitCreamPie, BigTitCreampie
"Big Tits Round Asses", btra, "BigTitsRoundAsses"
"Blowjob Fridays", bjf, "BlowJobFridays", "Blowjob Friday's"
"Blowjob Ninjas", "BlowjobNinjas"
"Boob Squad", "BoobSquad"
"Brown Bunnies", brownbunnies, "BrownBunnies"
"Can He Score", "CanHeScore"
"Chongas", chongas
"Colombia Fuck Fest", cff, "ColombiaFuckFest"
"Dirty Maid", mdm, DirtyMaid
"Dirty World Tour", "DirtyWorldTour"
"Dorm Invasion", di, "DormInvasion"
"Facial Fest", "FacialFest"
"Fuck Team Five", "FuckTeamFive", "FuckTeam5", "Fuck Team 5"
"Glory Hole Loads", ghl, "GloryHoleLoads"
"Ho In Headlights", hih, HoInHeadlights
"Latina Rampage", "LatinaRampage"
"Living With Anna", "LivingWithAnna"
"Magical Feet", "MagicalFeet"
"Milf Lessons", "MilfLessons"
"Milf Soup", ms2, "ktr.ms2", "MilfSoup"
"Moms Anal Adventure", "Mom's Anal Adventure", "MomsAnalAdventure", "Mom'sAnalAdventure"
"Monsters Of Cock", monstersofcock, MonstersOfCock
"Mr Anal", ma, "Mr. Anal", "MrAnal", "Mr.Anal"
"Mr Cameltoe", "MrCameltoe", "Mr.Cameltoe", "Mr. Cameltoe"
"My Life in Brazil", "MyLifeInBrazil"
"Newbie Black", "NewbieBlack"
"Party of Three", pot, "PartyOfThree", "PartyOf3", "Party of 3"
"Pawg", pawg
"Penny Show", "PennyShow"
"Pornstar Spa", ps, "PornstarSpa"
"Power Much", "PowerMuch"
"Public Bang", pubb, "PublicBang"
"Slutty White Girls", swg, "SluttyWhiteGirls"
"Spring Break Spycam", "SpringBreakSpycam"
"Stepmom Videos", smv, StepmomVideos
"Tugjobs", tj, "Tug Jobs"
"Working Latinas", "WorkingLatinas"

#Brand Danger
"Forever Vamp", "ForeverVamp", "ForeverVamp.com"
"Holly Randall", "HollyRandall", "HollyRandall.com"


#Brazzers
"Asses In Public", AssesInPublic
"Baby Got Boobs", bgb, BabyGotBoobs
"Big Butts Like It Big", bblib, BigButtsLikeItBig
